[52548.0, 39.4500783, -105.1327892, 1762.02, 1.0, 3.0, 7.2, -20.7]
[52549.0, 39.4500714, -105.13278829999999, 1762.08, 1.0, 3.0, 7.2, -20.7]
[52550.0, 39.4500642, -105.1327874, 1762.13, 1.0, 3.0, 7.2, -20.7]
[52551.0, 39.4500572, -105.1327867, 1762.19, 1.0, 3.0, 7.2, -20.7]
[52552.0, 39.4500496, -105.13278580000001, 1762.25, 1.0, 3.0, 7.2, -20.7]
[52553.0, 39.4500426, -105.1327851, 1762.3, 1.0, 3.0, 7.2, -20.7]
[52554.0, 39.450041, -105.1327846, 1762.33, 1.0, 3.0, 7.2, -20.7]
[52555.0, 39.4500405, -105.1327842, 1762.34, 1.0, 3.0, 7.2, -20.7]
[52556.0, 39.4500412, -105.1327836, 1762.34, 1.0, 3.0, 7.2, -20.7]
[52557.0, 39.4500435, -105.132783, 1762.33, 1.0, 3.0, 7.2, -20.7]
[52558.0, 39.4500461, -105.1327824, 1762.31, 1.0, 3.0, 7.2, -20.7]
[52559.0, 39.4500466, -105.13278179999999, 1762.31, 1.0, 3.0, 7.2, -20.7]
[52600.0, 39.450048, -105.1327813, 1762.31, 1.0, 3.0, 7.2, -20.7]
[52601.0, 39.450049, -105.1327809, 1762.32, 1.0, 3.0, 7.2, -20.7]
[52602.0, 39.4500505, -105.13278039999999, 1762.32, 1.0, 3.0, 7.2, -20.7]
[52603.0, 39.450051699999996, -105.1327803, 1762.33, 1.0, 3.0, 7.2, -20.7]
[52604.0, 39.4500503, -105.13277980000001, 1762.34, 1.0, 3.0, 7.2, -20.7]
[52605.0, 39.4500477, -105.1327795, 1762.36, 1.0, 3.0, 7.2, -20.7]
[52606.0, 39.4500448, -105.1327792, 1762.38, 1.0, 3.0, 7.2, -20.7]
[52607.0, 39.4500407, -105.13277899999999, 1762.41, 1.0, 3.0, 7.2, -20.7]
[52608.0, 39.4500398, -105.1327788, 1762.43, 1.0, 3.0, 7.2, -20.7]
[52609.0, 39.4500426, -105.13277899999999, 1762.44, 1.0, 3.0, 7.2, -20.7]
